,gene_symbol,num_id,num_gn,annotation_ID,secondary_annotation_ID_1,secondary_annotation_ID_2,secondary_annotation_ID_3,secondary_annotation_ID_4,secondary_annotation_ID_5,secondary_annotation_ID_6,secondary_annotation_ID_7,secondary_annotation_ID_8,secondary_annotation_ID_9,secondary_annotation_ID_10,secondary_annotation_ID_11,secondary_annotation_ID_12,primary_FBgn#,secondary_FBgn#1,secondary_FBgn#2,secondary_FBgn#3,secondary_FBgn#4,secondary_FBgn#5,secondary_FBgn#6,secondary_FBgn#7,secondary_FBgn#8,secondary_FBgn#9,secondary_FBgn#10,secondary_FBgn#11,secondary_FBgn#12,secondary_FBgn#13,secondary_FBgn#14,secondary_FBgn#15,secondary_FBgn#16,secondary_FBgn#17,secondary_FBgn#18,secondary_FBgn#19,secondary_FBgn#20,secondary_FBgn#21,secondary_FBgn#22,secondary_FBgn#23,secondary_FBgn#24,secondary_FBgn#25,secondary_FBgn#26,secondary_FBgn#27,secondary_FBgn#28,secondary_FBgn#29,secondary_FBgn#30,secondary_FBgn#31,secondary_FBgn#32,secondary_FBgn#33,secondary_FBgn#34,secondary_FBgn#35,secondary_FBgn#36,secondary_FBgn#37,secondary_FBgn#38,secondary_FBgn#39,secondary_FBgn#40,secondary_FBgn#41,secondary_FBgn#42,secondary_FBgn#43,secondary_FBgn#44,secondary_FBgn#45,secondary_FBgn#46,secondary_FBgn#47,secondary_FBgn#48,secondary_FBgn#49,secondary_FBgn#50,secondary_FBgn#51,secondary_FBgn#52,secondary_FBgn#53,secondary_FBgn#54,secondary_FBgn#55,secondary_FBgn#56,secondary_FBgn#57,secondary_FBgn#58,secondary_FBgn#59,secondary_FBgn#60,secondary_FBgn#61,secondary_FBgn#62,secondary_FBgn#63,secondary_FBgn#64,secondary_FBgn#65,secondary_FBgn#66,secondary_FBgn#67,secondary_FBgn#68,secondary_FBgn#69,secondary_FBgn#70,secondary_FBgn#71,secondary_FBgn#72,secondary_FBgn#73
0,7SLRNA:CR32864,0,0,CR32864,,,,,,,,,,,,,FBgn0000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,a,1,2,CG6741,CG13505,,,,,,,,,,,,FBgn0000008,FBgn0034701,FBgn0034702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,abd-A,0,0,CG10325,,,,,,,,,,,,,FBgn0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Abd-B,1,6,CG11648,CG10291,,,,,,,,,,,,FBgn0000015,FBgn0002692,FBgn0010098,FBgn0026843,FBgn0026859,FBgn0038456,FBgn0038457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Abl,0,2,CG4032,,,,,,,,,,,,,FBgn0000017,FBgn0024512,FBgn0036649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,abo,0,1,CG6093,,,,,,,,,,,,,FBgn0000018,FBgn0032323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ac,0,0,CG3796,,,,,,,,,,,,,FBgn0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ace,0,0,CG17907,,,,,,,,,,,,,FBgn0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,acj6,0,2,CG9151,,,,,,,,,,,,,FBgn0000028,FBgn0004418,FBgn0030633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Acph-1,0,1,CG7899,,,,,,,,,,,,,FBgn0000032,FBgn0039729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,nAChRalpha1,0,0,CG5610,,,,,,,,,,,,,FBgn0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,mAChR-A,0,0,CG4356,,,,,,,,,,,,,FBgn0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,nAChRbeta1,1,0,CG11348,CG12606,,,,,,,,,,,,FBgn0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,nAChRalpha2,0,0,CG6844,,,,,,,,,,,,,FBgn0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Act5C,0,11,CG4027,,,,,,,,,,,,,FBgn0000042,FBgn0025223,FBgn0026673,FBgn0026683,FBgn0026712,FBgn0027215,FBgn0027255,FBgn0027284,FBgn0027327,FBgn0028278,FBgn0040144,FBgn0040204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Act42A,0,0,CG12051,,,,,,,,,,,,,FBgn0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Act57B,1,3,CG10067,CG30294,,,,,,,,,,,,FBgn0000044,FBgn0019861,FBgn0050294,FBgn0065030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Act79B,0,0,CG7478,,,,,,,,,,,,,FBgn0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Act87E,0,1,CG18290,,,,,,,,,,,,,FBgn0000046,FBgn0038154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Act88F,0,0,CG5178,,,,,,,,,,,,,FBgn0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Pfas,0,0,CG9127,,,,,,,,,,,,,FBgn0000052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gart,1,2,CG31628,CG8761,,,,,,,,,,,,FBgn0000053,FBgn0051628,FBgn0063628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
