Geneid,Chr,Start,End,Strand,Length,TSS,Length,genebody,TSS per kb,gb per kb,Pause index
FBgn0031344,2L,1502654,1503154,-,501,593,1121,1,1183.63273,0.89206066,1326.8523
FBgn0259714,2L,6411076,6411576,-,501,3650,32556,188,7285.42914,5.77466519,1261.61931
FBgn0029840,X,6089951,6090451,-,501,280,6568,3,558.882236,0.45676005,1223.57951
FBgn0041087,2R,9414092,9414592,+,501,2496,2505,13,4982.03593,5.18962076,960
FBgn0038156,3R,13450340,13450840,+,501,1458,12595,39,2910.17964,3.09646685,939.838784
FBgn0053099,3R,22530322,22530822,-,501,714,653,1,1425.1497,1.53139357,930.622754
FBgn0034999,2R,24293847,24294347,+,501,3025,3015,20,6037.92415,6.63349917,910.217066
FBgn0085397,2R,21871780,21872280,+,501,3193,73230,532,6373.25349,7.26478219,877.280739
FBgn0024189,2R,8798239,8798739,+,501,2629,56603,339,5247.50499,5.98908185,876.17854
FBgn0041160,3L,15699600,15700100,-,501,2726,1257,8,5441.11776,6.36435959,854.935629
FBgn0031413,2L,2357106,2357606,-,501,677,47596,78,1351.29741,1.63879318,824.568606
FBgn0052982,2L,9125487,9125987,+,501,2942,36985,277,5872.25549,7.48952278,784.062705
FBgn0085399,2R,22039309,22039809,-,501,3340,51492,454,6666.66667,8.8169036,756.123348
FBgn0039094,3R,23605245,23605745,-,501,3158,1989,17,6303.39321,8.54700855,737.497006
FBgn0030954,X,18773777,18774277,-,501,3488,8545,82,6962.07585,9.59625512,725.499245
FBgn0264979,2L,2242128,2242628,+,501,3828,1897,20,7640.71856,10.5429626,724.722156
FBgn0034476,2R,19826328,19826828,+,501,3340,5396,50,6666.66667,9.26612305,719.466667
FBgn0041182,2L,7701351,7701851,-,501,3619,6875,70,7223.55289,10.1818182,709.456088
FBgn0002543,2L,1420203,1420703,-,501,3443,39368,386,6872.25549,9.8049177,700.898845
FBgn0036428,3L,14550725,14551225,-,501,2341,9039,61,4672.65469,6.74853413,692.395504
FBgn0034135,2R,16552008,16552508,+,501,2560,5229,39,5109.78044,7.45840505,685.103639
