,Unnamed: 0,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID,Pause index,Pause index_log2
1,6,Ty-N_peak_246,chr2R,6610404,6610404,+,387.40909,,promoter-TSS (NM_001103729),promoter-TSS (NM_001103729),-83,NM_136371,35555,Dm.5288,NM_136371,,jing,1.28|AEBP2|CG9397|CG9403|CT9093|Dmel\CG9397|Dmel_CG9403|Jing|l(2)01094|l(2)22F3,jing,protein-coding,CG9397,FBgn0086655,276.228744,8.109719642131676
2,8,Ty-N_peak_1185,chrX,16063550,16063550,+,383.21976,,promoter-TSS (NM_132874),promoter-TSS (NM_132874),-188,NM_132874,32572,Dm.17381,NM_132874,,dpr18,CG14948|CT34788|Dmel\CG14948|Dpr-18|Dpr18,defective proboscis extension response 18,protein-coding,CG14948,FBgn0030723,139.33418600000002,7.122405460074135
3,14,Ty-N_peak_881,chr3R,24057437,24057437,+,360.9794,,promoter-TSS (NM_142954),promoter-TSS (NM_142954),-127,NM_079750,42852,Dm.23337,NM_079750,,Hsp68,68|CG5436|DmHsp68|Dmel\CG5436|HSP68|HSP68_DROME|Hsp-68|hsp68,Heat shock protein 68,protein-coding,CG5436,FBgn0001230,10.5204802,3.3951286518319894
4,16,Ty-N_peak_1086,chrX,3835566,3835566,+,352.65277000000003,,promoter-TSS (NM_166992),promoter-TSS (NM_166992),-514,NM_166992,31339,Dm.17730,NM_130722,,ec,CG2904|Dmel\CG2904|EG:EG0002.3|Ec|Q1W9Q0,echinus,protein-coding,CG2904,FBgn0000542,70.45842979999999,6.138700418925534
6,20,Ty-N_peak_941,chr3R,30765019,30765019,+,343.6875,,promoter-TSS (NM_170522),promoter-TSS (NM_170522),-907,NM_170522,43650,Dm.4708,NM_057502,,zfh1,CG1322|Dmel\CG1322|ZFH-1|ZFH1|Zfh-1|Zfh1|Zfh1a|l(3)00865|zfh-1|zfl-1|zhf1,Zn finger homeodomain 1,protein-coding,CG1322,FBgn0004606,22.5492377,4.495006757413747
7,24,Ty-N_peak_100,chr2L,10964610,10964610,+,335.00632,,promoter-TSS (NM_001169474),promoter-TSS (NM_001169474),-457,NM_001014480,3346227,,NM_001014480,,dpr2,BP1042|CG14067|CG14068|CG33507|CT33638|Dmel\CG33507|Dpr-2|Dpr2,defective proboscis extension response 2,protein-coding,CG14067,FBgn0261871,1.41022482,0.49592517740691855
8,29,Ty-N_peak_919,chr3R,27906390,27906390,+,312.96179,,promoter-TSS (NM_001104479),promoter-TSS (NM_001104479),-547,NM_001300642,5740590,Dm.23047,NM_001104479,,CG34353,CG12274|CG12427|CG12873|CG12874|CG12875|CG5566|CG5572|Dmel\CG34353|Dmel_CG12274|Dmel_CG12427|Dmel_CG12873|Dmel_CG12874|Dmel_CG12875|Dmel_CG5566|Dmel_CG5572,uncharacterized protein,protein-coding,CG34353,FBgn0085382,446.616575,8.802892983762181
11,39,Ty-N_peak_479,chr3L,3942879,3942879,+,286.09564,,promoter-TSS (NM_139584),promoter-TSS (NM_139584),29,NM_139584,38464,Dm.5637,NM_139584,,CG14982,Dmel\CG14982,uncharacterized protein,protein-coding,CG14982,FBgn0035477,89.199558,6.478964656234871
12,41,Ty-N_peak_53,chr2L,6412039,6412039,+,285.89169,,promoter-TSS (NM_001144327),promoter-TSS (NM_001144327),-276,NM_001298740,33895,Dm.23851,NM_135181,,CG13982,Dmel\CG13982,uncharacterized protein,protein-coding,CG13982,FBgn0031811,9.70324216,3.2784668778796684
14,44,Ty-N_peak_608,chr3L,15700251,15700251,+,275.50284,,promoter-TSS (NM_140544),promoter-TSS (NM_140544),-401,NM_140544,39716,Dm.31201,NM_140544,,comm2,CG7554|Dmel\CG7554,comm2,protein-coding,CG7554,FBgn0041160,854.935629,9.739671988465012
