,PeakID (cmd=annotatePeaks.pl peakcall_strict/Ty-N_summits.bed dm6 -annStats peak_annotation/Ty-N_stats.txt),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type,CG_number,FBgn_ID
1,Ty-N_peak_771,chr3R,9868709,9868709,+,423.84717,,promoter-TSS (NM_141702),promoter-TSS (NM_141702),-589,NM_001275513,41215,Dm.4348,NM_141702,,Teh1,CG12806|Dmel\CG12806|TEH1,tipE homolog 1,protein-coding,CG12806,FBgn0037766
6,Ty-N_peak_246,chr2R,6610404,6610404,+,387.40909,,promoter-TSS (NM_001103729),promoter-TSS (NM_001103729),-83,NM_136371,35555,Dm.5288,NM_136371,,jing,1.28|AEBP2|CG9397|CG9403|CT9093|Dmel\CG9397|Dmel_CG9403|Jing|l(2)01094|l(2)22F3,jing,protein-coding,CG9397,FBgn0086655
8,Ty-N_peak_1185,chrX,16063550,16063550,+,383.21976,,promoter-TSS (NM_132874),promoter-TSS (NM_132874),-188,NM_132874,32572,Dm.17381,NM_132874,,dpr18,CG14948|CT34788|Dmel\CG14948|Dpr-18|Dpr18,defective proboscis extension response 18,protein-coding,CG14948,FBgn0030723
14,Ty-N_peak_881,chr3R,24057437,24057437,+,360.9794,,promoter-TSS (NM_142954),promoter-TSS (NM_142954),-127,NM_079750,42852,Dm.23337,NM_079750,,Hsp68,68|CG5436|DmHsp68|Dmel\CG5436|HSP68|HSP68_DROME|Hsp-68|hsp68,Heat shock protein 68,protein-coding,CG5436,FBgn0001230
16,Ty-N_peak_1086,chrX,3835566,3835566,+,352.65277,,promoter-TSS (NM_166992),promoter-TSS (NM_166992),-514,NM_166992,31339,Dm.17730,NM_130722,,ec,CG2904|Dmel\CG2904|EG:EG0002.3|Ec|Q1W9Q0,echinus,protein-coding,CG2904,FBgn0000542
17,Ty-N_peak_863,chr3R,21889507,21889507,+,350.45483,,promoter-TSS (NM_001316613),promoter-TSS (NM_001316613),-32,NM_001316612,26067040,,NM_001316611,,CG43844,CR43844|Dmel\CG43844,uncharacterized protein,protein-coding,CG43844,FBgn0264426
20,Ty-N_peak_941,chr3R,30765019,30765019,+,343.6875,,promoter-TSS (NM_170522),promoter-TSS (NM_170522),-907,NM_170522,43650,Dm.4708,NM_057502,,zfh1,CG1322|Dmel\CG1322|ZFH-1|ZFH1|Zfh-1|Zfh1|Zfh1a|l(3)00865|zfh-1|zfl-1|zhf1,Zn finger homeodomain 1,protein-coding,CG1322,FBgn0004606
24,Ty-N_peak_100,chr2L,10964610,10964610,+,335.00632,,promoter-TSS (NM_001169474),promoter-TSS (NM_001169474),-457,NM_001014480,3346227,,NM_001014480,,dpr2,BP1042|CG14067|CG14068|CG33507|CT33638|Dmel\CG33507|Dpr-2|Dpr2,defective proboscis extension response 2,protein-coding,CG14067,FBgn0261871
29,Ty-N_peak_919,chr3R,27906390,27906390,+,312.96179,,promoter-TSS (NM_001104479),promoter-TSS (NM_001104479),-547,NM_001300642,5740590,Dm.23047,NM_001104479,,CG34353,CG12274|CG12427|CG12873|CG12874|CG12875|CG5566|CG5572|Dmel\CG34353|Dmel_CG12274|Dmel_CG12427|Dmel_CG12873|Dmel_CG12874|Dmel_CG12875|Dmel_CG5566|Dmel_CG5572,uncharacterized protein,protein-coding,CG34353,FBgn0085382
37,Ty-N_peak_935,chr3R,30456197,30456197,+,288.9567,,promoter-TSS (NM_170485),promoter-TSS (NM_170485),-330,NM_170485,43616,Dm.20778,NM_143538,,aralar1,Aralar|BcDNA:GH07418|CG2139|DmAralar|Dmel\CG2139|aralar,aralar1,protein-coding,CG2139,FBgn0028646
38,Ty-N_peak_494,chr3L,6124903,6124903,+,288.75854,,promoter-TSS (NR_133177),promoter-TSS (NR_133177),-502,NR_133176,26067326,,NR_133176,,CR46005,Dmel\CR46005,ncRNA,ncRNA,CR46005,FBgn0267667
39,Ty-N_peak_479,chr3L,3942879,3942879,+,286.09564,,promoter-TSS (NM_139584),promoter-TSS (NM_139584),29,NM_139584,38464,Dm.5637,NM_139584,,CG14982,Dmel\CG14982,uncharacterized protein,protein-coding,CG14982,FBgn0035477
41,Ty-N_peak_53,chr2L,6412039,6412039,+,285.89169,,promoter-TSS (NM_001144327),promoter-TSS (NM_001144327),-276,NM_001298740,33895,Dm.23851,NM_135181,,CG13982,Dmel\CG13982,uncharacterized protein,protein-coding,CG13982,FBgn0031811
42,Ty-N_peak_1050,chrX,843898,843898,+,277.20187,,promoter-TSS (NM_130508),promoter-TSS (NM_130508),-925,NM_130508,31032,Dm.26419,NM_130508,,CG14635,Dmel\CG14635,uncharacterized protein,protein-coding,CG14635,FBgn0029535
44,Ty-N_peak_608,chr3L,15700251,15700251,+,275.50284,,promoter-TSS (NM_140544),promoter-TSS (NM_140544),-401,NM_140544,39716,Dm.31201,NM_140544,,comm2,CG7554|Dmel\CG7554,comm2,protein-coding,CG7554,FBgn0041160
47,Ty-N_peak_846,chr3R,18659620,18659620,+,269.43466,,promoter-TSS (NM_169826),promoter-TSS (NM_169826),2,NM_058105,42239,Dm.4853,NM_058105,,CstF-64,CG7697|CStF 64|CstF 64|CstF64|Dmel\CG7697|dCstF64,Cleavage stimulation factor 64 kilodalton subunit,protein-coding,CG7697,FBgn0027841
48,Ty-N_peak_251,chr2R,6879006,6879006,+,259.78412,,promoter-TSS (NM_206039),promoter-TSS (NM_206039),-79,NM_206038,49805,Dm.21716,NM_080216,,Spn42Da,CG9453|Dmel\CG9453|Serp2|Sp4|Spn4|Spn4A|dSerp2|sp4|spn4,Serpin 42Da,protein-coding,CG9453,FBgn0265137
50,Ty-N_peak_959,chr4,389125,389125,+,258.48251,,promoter-TSS (NM_001258493),promoter-TSS (NM_001258493),-803,NM_001258493,43789,Dm.1399,NM_166758,,dati,CG10204|CG2052|DmLin29|Dmel\CG2052|Lin29,datilografo,protein-coding,CG10204,FBgn0262636
53,Ty-N_peak_89,chr2L,9967206,9967206,+,255.76582,,promoter-TSS (NM_001038802),promoter-TSS (NM_001038802),23,NM_001273382,34328,Dm.7169,NM_078805,,Dref,CG5838|DREF|DmDREF|Dmel\CG5838|Dmel_DREF|dDREF|dref|p80|p80/DREF,DNA replication-related element factor,protein-coding,CG5838,FBgn0015664
55,Ty-N_peak_386,chr2R,21541069,21541069,+,254.58858,,promoter-TSS (NM_137743),promoter-TSS (NM_137743),-496,NM_137743,37454,Dm.29485,NM_137743,,CG30283,CG10450|Dmel\CG30283|SP37|SPH37,uncharacterized protein,protein-coding,CG30283,FBgn0260477
56,Ty-N_peak_609,chr3L,15729369,15729369,+,254.58858,,promoter-TSS (NM_079371),promoter-TSS (NM_079371),-939,NM_079371,39717,Dm.2546,NM_079371,,comm,CG17943|Comm|Dmel\CG17943,commissureless,protein-coding,CG17943,FBgn0010105
57,Ty-N_peak_71,chr2L,9125180,9125180,+,250.40907,,promoter-TSS (NM_001042884),promoter-TSS (NM_001042884),-557,NM_176001,34237,Dm.6376,NM_176001,,CG32982,CG18566|CG9584|CG9585|Dmel\CG32982|p78,uncharacterized protein,protein-coding,CG32982,FBgn0052982
58,Ty-N_peak_587,chr3L,14622635,14622635,+,249.94911,,promoter-TSS (NM_001169971),promoter-TSS (NM_001169971),-161,NM_168590,39593,Dm.959,NM_140453,,CG9628,Dmel\CG9628,CG9628,protein-coding,CG9628,FBgn0036433
59,Ty-N_peak_821,chr3R,15374479,15374479,+,249.41911,,promoter-TSS (NM_001170149),promoter-TSS (NM_001170149),-156,NM_001275673,41880,,NM_169652,,Rbp,CG14867|CG31302|CG43073|CG5143|CG5152|DRBP|Dmel\CG43073|Dmel_CG14867|Dmel_CG31302|RBP|drbp|rbp,RIM-binding protein,protein-coding,CG14867,FBgn0262483
60,Ty-N_peak_947,chr3R,31196823,31196823,+,249.41911,,promoter-TSS (NM_143592),promoter-TSS (NM_143592),-93,NM_143592,43689,Dm.10912,NM_143592,,CG1544,Dmel\CG1544,CG1544,protein-coding,CG1544,FBgn0039827
62,Ty-N_peak_871,chr3R,23249025,23249025,+,247.29617,,promoter-TSS (NM_001043282),promoter-TSS (NM_001043282),-122,NM_001043282,42747,Dm.16575,NM_142876,,CG4467,CG13825|Dmel\CG4467,CG4467,protein-coding,CG4467,FBgn0039064
65,Ty-N_peak_69,chr2L,9083140,9083140,+,244.18739,,promoter-TSS (NM_078795),promoter-TSS (NM_078795),-967,NM_078795,34235,Dm.13019,NM_078795,,Toll-4,CG18241|CT29238|Dmel\CG18241|TL4|Tl-4|dTLR4|dToll4|toll,Toll-4,protein-coding,CG18241,FBgn0032095
66,Ty-N_peak_669,chr3L,20004880,20004880,+,243.96825,,promoter-TSS (NM_001300197),promoter-TSS (NM_001300197),-421,NM_001300197,40191,Dm.3778,NM_140914,,kug,CG7749|CT23445|Cad76E|DCad76E|Dmel\CG7749|Ftl|RE-A|fat2|ftl|kugel,kugelei,protein-coding,CG7749,FBgn0261574
68,Ty-N_peak_962,chr4,425242,425242,+,240.10506,,promoter-TSS (NR_047708),promoter-TSS (NR_047708),-825,NR_047708,12798283,,NR_047708,,CR43437,Dmel\CR43437,ncRNA,ncRNA,CR43437,FBgn0263385
69,Ty-N_peak_596,chr3L,15079553,15079553,+,236.3307,,promoter-TSS (NM_001274937),promoter-TSS (NM_001274937),-128,NM_001274937,3772382,Dm.14930,NM_001032401,,Plp,AKAP450|CG13459|CG18648|CG33957|CG6735|CP309|Cp309|D-PLP|DPLP|Dmel\CG33957|Dplp|PACT|PLP|cp309|d-plp|dPLP|dplp|l(3)s2172|pPlp|plp,Pericentrin-like protein,protein-coding,CG13459,FBgn0086690
70,Ty-N_peak_737,chr3R,5960283,5960283,+,235.26282,,promoter-TSS (NM_001043217),promoter-TSS (NM_001043217),704,NM_144062,50152,Dm.17155,NM_144062,,CG11373,Dmel\CG11373,uncharacterized protein,protein-coding,CG11373,FBgn0040679
72,Ty-N_peak_565,chr3L,12653111,12653111,+,228.97748,,promoter-TSS (NR_048272),promoter-TSS (NR_048272),-21,NR_048272,12798225,,NR_048272,,CR43431,Dmel\CR43431,ncRNA,ncRNA,CR43431,FBgn0263379
74,Ty-N_peak_447,chr3L,682359,682359,+,227.71321,,promoter-TSS (NM_138205),promoter-TSS (NM_138205),-40,NM_001274287,38081,Dm.13583,NM_138205,,CG3386,Dmel\CG3386,CG3386,protein-coding,CG3386,FBgn0035152
75,Ty-N_peak_263,chr2R,8082684,8082684,+,227.71321,,promoter-TSS (NM_078934),promoter-TSS (NM_078934),-292,NM_078934,35774,Dm.2016,NM_078934,,sut1,CG8714|Dmel\CG8714|Sut1,sugar transporter 1,protein-coding,CG8714,FBgn0028563
77,Ty-N_peak_851,chr3R,18918119,18918119,+,220.85051,,promoter-TSS (NM_001104363),promoter-TSS (NM_001104363),-141,NM_001104363,42267,Dm.7819,NM_142504,,Xrp1,2515|CG17836|DM28|Dmel\CG17836|XRP1|anon-EST:Liang-2.44|clone 2.44|l(3)02515|xrp1,Xrp1,protein-coding,CG17836,FBgn0261113
79,Ty-N_peak_355,chr2R,18141046,18141046,+,217.65739,,promoter-TSS (NM_166264),promoter-TSS (NM_166264),269,NM_057319,37070,Dm.7069,NM_057319,,pAbp,BcDNA:LD24412|CG16803|CG5119|Dmel\CG5119|PABP|PABP55B|PABPC1|PAbp|Pabp|anon-EST:Posey247|anon-EST:Posey249|anon-EST:fe2E5|dPABP|duo|l(2)SH1908|l(2)SH2 1908|l(2)k10109|pAB|pABP|pabp,poly(A) binding protein,protein-coding,CG16803,FBgn0265297
80,Ty-N_peak_717,chr3R,4390266,4390266,+,217.24202,,promoter-TSS (NM_141205),promoter-TSS (NM_141205),-100,NM_141205,40555,Dm.7582,NM_141205,,CG14646,Dmel\CG14646|anon-WO0118547.373,uncharacterized protein,protein-coding,CG14646,FBgn0037241
81,Ty-N_peak_121,chr2L,13225920,13225920,+,216.61848,,promoter-TSS (NM_135776),promoter-TSS (NM_135776),-645,NM_135776,34723,Dm.25682,NM_135776,,CG15480,Dmel\CG15480,uncharacterized protein,protein-coding,CG15480,FBgn0032489
83,Ty-N_peak_250,chr2R,6718367,6718367,+,210.1866,,promoter-TSS (NM_080368),promoter-TSS (NM_080368),-660,NM_080368,35579,Dm.1664,NM_080368,,Zip42C.1,CG9428|Dmel\CG9428|ZIP1|Zip1|cg9428|dZIP1|dZIP42C.1|dZip1|dZip42C.1,Zinc/iron regulated transporter-related protein 42C.1,protein-coding,CG9428,FBgn0033096
84,Ty-N_peak_928,chr3R,29215409,29215409,+,208.94695,,promoter-TSS (NR_048508),promoter-TSS (NR_048508),-176,NR_048508,12798294,Dm.38878,NR_048508,,mir-279,0962/07|279|CR33590|CR43015|Dmel\CR43015|Dmel_CR33590|MiR-279|Mir-279|dme-miR-279|dme-miR-279-3p|dme-mir-279|l(3)S096207|miR|miR-279|miR279|mir-279a,mir-279 stem loop,ncRNA,CR33590,FBgn0262448
